Crash Year,Crash Month,Crash Day,Time of Day,Day of Week,City or Township,Crash: Motorway,Crash: Hit-and-Run,Lighting Conditions,Weather Conditions (2021+),Speed Limit at Crash Site,Worst Injury in Crash,Party Type,Person Age,Person Gender
2023,November,2,4:00 PM - 5:00 PM,Friday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Daylight,Clear,40,Possible injury (C),Motor vehicle driver,28,Male
2023,November,2,2:00 AM - 3:00 AM,Friday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,25,Suspected serious injury (A),Motor vehicle driver,28,Female
2023,December,2,5:00 PM - 6:00 PM,Sunday,United Kingdom: Thursk,Motorway crash,Hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,28,Female
2023,December,2,4:00 AM - 5:00 AM,Sunday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dark lighted,Rain,Female,Possible injury (C),Motor vehicle driver,26,Male
2023,February,3,2:00 AM - 3:00 AM,Saturday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,25,Fatal injury (K),Motor vehicle driver,28,Female
2023,February,3,2:00 AM - 3:00 AM,Saturday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark unlighted,Clear,35,Possible injury (C),Motor vehicle driver,28,Female
2023,March,3,11:00 PM - 12:00 midnight,Saturday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,35,Suspected serious injury (A),Motor vehicle driver,28,Female
2023,April,3,12:00 noon - 1:00 PM,Tuesday,United Kingdom: Plymouth Twp.,Motorway crash,Not hit-and-run,Daylight,Cloudy,25,Suspected serious injury (A),Motor vehicle driver,57,Female
2023,April,3,7:00 PM - 8:00 PM,Tuesday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,28,Male
2023,May,3,4:00 PM - 5:00 PM,Thursday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,46,Male
2023,June,3,1:00 PM - 2:00 PM,Sunday,United Kingdom: Lincoln Park,Motorway crash,Not hit-and-run,Daylight,Clear,40,Suspected serious injury (A),Motor vehicle driver,61,Male
2023,June,3,6:00 PM - 7:00 PM,Sunday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,30,Possible injury (C),Motor vehicle driver,20,Male
2023,July,3,11:00 AM - 12:00 noon,Tuesday,United Kingdom: Wolverhampton,Non motorway crash,Hit-and-run,Unknown,Unknown,20,Possible injury (C),Motor vehicle driver,28,Female
2023,August,3,6:00 PM - 7:00 PM,Friday,United Kingdom: Lincoln Park,Motorway crash,Hit-and-run,Daylight,Clear,25,No injury (O),Motor vehicle driver,28,Female
2023,September,3,8:00 PM - 9:00 PM,Monday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dusk,Clear,25,Suspected serious injury (A),Motor vehicle driver,53,Male
2023,September,3,10:00 PM - 11:00 PM,Monday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Dark lighted,Clear,35,No injury (O),Motor vehicle driver,28,Female
2023,September,3,1:00 AM - 2:00 AM,Monday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Unknown,Unknown,25,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,October,3,8:00 AM - 9:00 AM,Wednesday,United Kingdom: East London,Motorway crash,Not hit-and-run,Daylight,Cloudy,25,Possible injury (C),Motor vehicle driver,41,Male
2023,November,3,2:00 AM - 3:00 AM,Saturday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,29,Female
2023,November,3,8:00 PM - 9:00 PM,Saturday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Dark lighted,Clear,30,Possible injury (C),Motor vehicle driver,28,Female
2023,December,3,2:00 PM - 3:00 PM,Monday,United Kingdom: Thursk,Non motorway crash,Not hit-and-run,Daylight,Cloudy,25,Suspected minor injury (B),Motor vehicle driver,18,Male
2023,December,3,7:00 PM - 8:00 PM,Monday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dark lighted,Clear,30,Fatal injury (K),Motor vehicle driver,76,Male
2023,December,3,5:00 PM - 6:00 PM,Monday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dusk,Snow,30,Suspected serious injury (A),Motor vehicle driver,86,Male
2023,December,3,8:00 AM - 9:00 AM,Monday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dark lighted,Clear,35,Possible injury (C),Motor vehicle driver,18,Female
2023,December,3,2:00 AM - 3:00 AM,Monday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,25,Suspected serious injury (A),Motor vehicle driver,28,Female
2023,January,4,12:00 noon - 1:00 PM,Thursday,United Kingdom: Oxfordshire,Motorway crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,53,Female
2023,January,4,5:00 PM - 6:00 PM,Thursday,United Kingdom: Oxfordshire Park,Motorway crash,Not hit-and-run,Unknown,Unknown,35,Possible injury (C),Motor vehicle driver,60,Female
2023,March,4,2:00 AM - 3:00 AM,Sunday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dark lighted,Clear,55,Fatal injury (K),Motor vehicle driver,21,Female
2023,March,4,2:00 AM - 3:00 AM,Sunday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dark lighted,Clear,55,Fatal injury (K),Motor vehicle driver,41,Female
2023,April,4,10:00 AM - 11:00 AM,Wednesday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Cloudy,25,Possible injury (C),Motor vehicle driver,49,Male
2023,May,4,7:00 PM - 8:00 PM,Friday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Daylight,Clear,35,No injury (O),Motor vehicle driver,28,Female
2023,June,4,10:00 PM - 11:00 PM,Monday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Unknown,Clear,30,Suspected minor injury (B),Motor vehicle driver,53,Male
2023,June,4,5:00 PM - 6:00 PM,Monday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Clear,30,Possible injury (C),Motor vehicle driver,28,Female
2023,July,4,8:00 PM - 9:00 PM,Wednesday,United Kingdom: Wolverhampton Heights,Non motorway crash,Hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,33,Male
2023,August,4,2:00 AM - 3:00 AM,Saturday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,35,Fatal injury (K),Motor vehicle driver,19,Male
2023,August,4,5:00 PM - 6:00 PM,Saturday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,28,Female
2023,August,4,12:00 midnight - 1:00 AM,Saturday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,28,Male
2023,August,4,11:00 PM - 12:00 midnight,Saturday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Dark lighted,Clear,Female,No injury (O),Motor vehicle driver,28,Female
2023,September,4,6:00 PM - 7:00 PM,Tuesday,United Kingdom: Lincoln Park,Motorway crash,Not hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,58,Female
2023,September,4,4:00 PM - 5:00 PM,Tuesday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Daylight,Clear,30,Possible injury (C),Motor vehicle driver,27,Male
2023,September,4,3:00 PM - 4:00 PM,Tuesday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,30,Fatal injury (K),Motor vehicle driver,37,Male
2023,September,4,8:00 AM - 9:00 AM,Tuesday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Clear,Female,Possible injury (C),Motor vehicle driver,28,Female
2023,October,4,2:00 AM - 3:00 AM,Thursday,United Kingdom: Wolverhampton Heights,Non motorway crash,Hit-and-run,Dark lighted,Rain,40,Suspected minor injury (B),Motor vehicle driver,30,Male
2023,October,4,8:00 AM - 9:00 AM,Thursday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Clear,35,No injury (O),Motor vehicle driver,28,Female
2023,November,4,6:00 PM - 7:00 PM,Sunday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dusk,Clear,35,Possible injury (C),Motor vehicle driver,59,Male
2023,December,4,7:00 PM - 8:00 PM,Tuesday,United Kingdom: Thursk,Non motorway crash,Hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,28,Female
2023,December,4,5:00 PM - 6:00 PM,Tuesday,United Kingdom: Derby,Motorway crash,Not hit-and-run,Dark unlighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,21,Male
2023,December,4,2:00 PM - 3:00 PM,Tuesday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Daylight,Clear,55,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,December,4,7:00 AM - 8:00 AM,Tuesday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Cloudy,25,No injury (O),Motor vehicle driver,45,Male
2023,December,4,12:00 midnight - 1:00 AM,Tuesday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,December,4,7:00 AM - 8:00 AM,Tuesday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Cloudy,35,Possible injury (C),Motor vehicle driver,28,Female
2023,January,5,11:00 AM - 12:00 noon,Friday,United Kingdom: Dewsbury,Motorway crash,Not hit-and-run,Daylight,Clear,5,Possible injury (C),Motor vehicle driver,46,Male
2023,February,5,7:00 PM - 8:00 PM,Monday,United Kingdom: Cambridge,Non motorway crash,Not hit-and-run,Dark lighted,Clear,15,Suspected serious injury (A),Motor vehicle driver,48,Female
2023,February,5,1:00 PM - 2:00 PM,Monday,United Kingdom: Lincoln Park,Motorway crash,Not hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,26,Female
2023,February,5,5:00 PM - 6:00 PM,Monday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,35,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,February,5,7:00 AM - 8:00 AM,Monday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Snow,25,Possible injury (C),Motor vehicle driver,28,Female
2023,March,5,7:00 PM - 8:00 PM,Monday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Unknown,Clear,25,Suspected serious injury (A),Motor vehicle driver,20,Female
2023,March,5,6:00 PM - 7:00 PM,Monday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,28,Female
2023,May,5,3:00 PM - 4:00 PM,Saturday,United Kingdom: Thursk,Non motorway crash,Not hit-and-run,Daylight,Clear,25,Suspected minor injury (B),Motor vehicle driver,33,Female
2023,May,5,6:00 PM - 7:00 PM,Saturday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,28,Female
2023,May,5,1:00 PM - 2:00 PM,Saturday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Daylight,Clear,35,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,May,5,3:00 AM - 4:00 AM,Saturday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,28,Female
2023,June,5,4:00 PM - 5:00 PM,Tuesday,United Kingdom: Wolverhampton,Non motorway crash,Not hit-and-run,Daylight,Clear,25,Suspected serious injury (A),Motor vehicle driver,22,Male
2023,June,5,9:00 PM - 10:00 PM,Tuesday,United Kingdom: Wolverhampton,Non motorway crash,Hit-and-run,Daylight,Clear,25,Suspected minor injury (B),Motor vehicle driver,19,Male
2023,June,5,4:00 AM - 5:00 AM,Tuesday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dark lighted,Rain,70,Suspected minor injury (B),Motor vehicle driver,26,Male
2023,June,5,4:00 AM - 5:00 AM,Tuesday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dark lighted,Rain,70,Suspected minor injury (B),Motor vehicle driver,36,Male
2023,July,5,7:00 PM - 8:00 PM,Thursday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Daylight,Cloudy,25,No injury (O),Motor vehicle driver,20,Female
2023,July,5,5:00 PM - 6:00 PM,Thursday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,30,No injury (O),Motor vehicle driver,49,Male
2023,July,5,12:00 midnight - 1:00 AM,Thursday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,July,5,1:00 AM - 2:00 AM,Thursday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,25,No injury (O),Motor vehicle driver,28,Female
2023,August,5,7:00 PM - 8:00 PM,Sunday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Daylight,Clear,25,No injury (O),Motor vehicle driver,28,Female
2023,August,5,2:00 AM - 3:00 AM,Sunday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,35,Suspected serious injury (A),Motor vehicle driver,44,Female
2023,September,5,9:00 AM - 10:00 AM,Wednesday,United Kingdom: Solihull,Motorway crash,Hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,28,Female
2023,September,5,9:00 PM - 10:00 PM,Wednesday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark unlighted,Clear,25,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,October,5,8:00 PM - 9:00 PM,Friday,United Kingdom: Plymouth Twp.,Non motorway crash,Not hit-and-run,Dark lighted,Clear,70,Fatal injury (K),Motor vehicle driver,29,Male
2023,October,5,8:00 PM - 9:00 PM,Friday,United Kingdom: Plymouth Twp.,Non motorway crash,Not hit-and-run,Dark lighted,Clear,70,Fatal injury (K),Motor vehicle driver,28,Female
2023,October,5,8:00 AM - 9:00 AM,Friday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,25,No injury (O),Motor vehicle driver,23,Female
2023,December,5,7:00 AM - 8:00 AM,Wednesday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dark lighted,Clear,35,Possible injury (C),Motor vehicle driver,21,Male
2023,January,6,9:00 AM - 10:00 AM,Saturday,United Kingdom: Bradford,Non motorway crash,Not hit-and-run,Daylight,Snow,40,Possible injury (C),Motor vehicle driver,19,Female
2023,January,6,2:00 PM - 3:00 PM,Saturday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Clear,30,No injury (O),Motor vehicle driver,28,Female
2023,February,6,9:00 AM - 10:00 AM,Tuesday,United Kingdom: Wolverhampton,Non motorway crash,Not hit-and-run,Daylight,Cloudy,35,Suspected minor injury (B),Motor vehicle driver,18,Female
2023,February,6,9:00 AM - 10:00 AM,Tuesday,United Kingdom: Wolverhampton,Non motorway crash,Not hit-and-run,Daylight,Cloudy,35,Suspected minor injury (B),Motor vehicle driver,19,Female
2023,February,6,9:00 AM - 10:00 AM,Tuesday,United Kingdom: Wolverhampton,Non motorway crash,Not hit-and-run,Daylight,Cloudy,35,Suspected minor injury (B),Motor vehicle driver,23,Female
2023,February,6,8:00 PM - 9:00 PM,Tuesday,United Kingdom: Derby,Motorway crash,Not hit-and-run,Dark lighted,Cloudy,45,Possible injury (C),Motor vehicle driver,40,Male
2023,February,6,4:00 PM - 5:00 PM,Tuesday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,20,Female
2023,February,6,10:00 AM - 11:00 AM,Tuesday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Daylight,Snow,30,Suspected serious injury (A),Motor vehicle driver,28,Female
2023,April,6,12:00 noon - 1:00 PM,Friday,United Kingdom: Derby,Motorway crash,Not hit-and-run,Daylight,Cloudy,40,Possible injury (C),Motor vehicle driver,73,Male
2023,April,6,7:00 AM - 8:00 AM,Friday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dawn,Snow,30,Suspected serious injury (A),Motor vehicle driver,33,Female
2023,April,6,5:00 PM - 6:00 PM,Friday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,30,Suspected minor injury (B),Motor vehicle driver,45,Female
2023,May,6,4:00 PM - 5:00 PM,Sunday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,30,Suspected serious injury (A),Motor vehicle driver,31,Female
2023,June,6,12:00 midnight - 1:00 AM,Wednesday,United Kingdom: Greater Manchester,Non motorway crash,Hit-and-run,Dark unlighted,Clear,45,Suspected minor injury (B),Motor vehicle driver,19,Female
2023,June,6,12:00 midnight - 1:00 AM,Wednesday,United Kingdom: Greater Manchester,Non motorway crash,Hit-and-run,Dark unlighted,Clear,45,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,June,6,12:00 noon - 1:00 PM,Wednesday,United Kingdom: Highland Park,Non motorway crash,Not hit-and-run,Daylight,Clear,35,Suspected minor injury (B),Motor vehicle driver,35,Female
2023,June,6,11:00 AM - 12:00 noon,Wednesday,United Kingdom: Bradford,Motorway crash,Not hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,53,Female
2023,June,6,7:00 AM - 8:00 AM,Wednesday,United Kingdom: Westland,Motorway crash,Not hit-and-run,Daylight,Clear,40,Suspected minor injury (B),Motor vehicle driver,59,Female
2023,June,6,7:00 PM - 8:00 PM,Wednesday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,30,Suspected minor injury (B),Motor vehicle driver,25,Female
2023,June,6,2:00 PM - 3:00 PM,Wednesday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,31,Male
2023,June,6,1:00 PM - 2:00 PM,Wednesday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Clear,30,Suspected minor injury (B),Motor vehicle driver,49,Male
